Date : 2023-07-19 14:07:43
Directory : /Users/buudinhha/project2
Total : 102 files,  47528 codes, 3598 comments, 6741 blanks, all 57867 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| views/admin                                                                            |          7 |        436 |         68 |         49 |        553 |
| views/admin (Files)                                                                    |          3 |        296 |         43 |         36 |        375 |
| views/admin/includes                                                                   |          4 |        140 |         25 |         13 |        178 |
| views/error                                                                            |          4 |         46 |          0 |          9 |         55 |
| views/error (Files)                                                                    |          2 |          8 |          0 |          6 |         14 |
| views/error/includes                                                                   |          2 |         38 |          0 |          3 |         41 |
| views/main-page                                                                        |          9 |        422 |        119 |         61 |        602 |
| views/main-page (Files)                                                                |          5 |        233 |         39 |         35 |        307 |
| views/main-page/includes                                                               |          4 |        189 |         80 |         26 |        295 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                               | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/buudinhha/project2/.dockerignore                                                | Ignore     |         28 |          5 |          2 |         35 |
| /Users/buudinhha/project2/Dockerfile                                                   | Docker     |         12 |         13 |         12 |         37 |
| /Users/buudinhha/project2/README.md                                                    | Markdown   |          2 |          0 |          0 |          2 |
| /Users/buudinhha/project2/app.js                                                       | JavaScript |         51 |          0 |         15 |         66 |
| /Users/buudinhha/project2/compose.yaml                                                 | YAML       |          8 |         40 |          4 |         52 |
| /Users/buudinhha/project2/controllers/admin.js                                         | JavaScript |        259 |         16 |         31 |        306 |
| /Users/buudinhha/project2/controllers/error.js                                         | JavaScript |         12 |          0 |          2 |         14 |
| /Users/buudinhha/project2/controllers/main-page.js                                     | JavaScript |        180 |         10 |         24 |        214 |
| /Users/buudinhha/project2/data/dishes.json                                             | JSON       |          1 |          0 |          0 |          1 |
| /Users/buudinhha/project2/middleware/filterIngredientsAndSteps.js                      | JavaScript |         11 |          2 |          4 |         17 |
| /Users/buudinhha/project2/models/dish.js                                               | JavaScript |         29 |          0 |          3 |         32 |
| /Users/buudinhha/project2/package-lock.json                                            | JSON       |      3,441 |          0 |          1 |      3,442 |
| /Users/buudinhha/project2/package.json                                                 | JSON       |         29 |          0 |          1 |         30 |
| /Users/buudinhha/project2/public/css/admin/style.css                                   | CSS        |      9,905 |        295 |        464 |     10,664 |
| /Users/buudinhha/project2/public/css/main-page/animate.css                             | CSS        |          1 |          0 |          0 |          1 |
| /Users/buudinhha/project2/public/css/main-page/baguetteBox.min.css                     | CSS        |          1 |          5 |          0 |          6 |
| /Users/buudinhha/project2/public/css/main-page/bootstrap.min.css                       | CSS        |          1 |          6 |          0 |          7 |
| /Users/buudinhha/project2/public/css/main-page/classic.css                             | CSS        |         69 |         35 |          2 |        106 |
| /Users/buudinhha/project2/public/css/main-page/classic.date.css                        | CSS        |        266 |         34 |          2 |        302 |
| /Users/buudinhha/project2/public/css/main-page/classic.time.css                        | CSS        |        102 |         29 |          2 |        133 |
| /Users/buudinhha/project2/public/css/main-page/custom.css                              | CSS        |          0 |          1 |          1 |          2 |
| /Users/buudinhha/project2/public/css/main-page/font-awesome.min.css                    | CSS        |          1 |          3 |          1 |          5 |
| /Users/buudinhha/project2/public/css/main-page/profile.css                             | CSS        |         48 |          2 |          3 |         53 |
| /Users/buudinhha/project2/public/css/main-page/responsive.css                          | CSS        |         82 |          4 |          5 |         91 |
| /Users/buudinhha/project2/public/css/main-page/style.css                               | CSS        |      1,331 |         45 |        162 |      1,538 |
| /Users/buudinhha/project2/public/css/main-page/superslides.css                         | CSS        |         63 |          0 |          3 |         66 |
| /Users/buudinhha/project2/public/fonts/admin/datta/datta-icon.css                      | CSS        |         74 |          0 |          6 |         80 |
| /Users/buudinhha/project2/public/fonts/admin/datta/fonts/pct.svg                       | XML        |         22 |          0 |          2 |         24 |
| /Users/buudinhha/project2/public/fonts/admin/feather/css/feather.css                   | CSS        |        261 |          2 |        245 |        508 |
| /Users/buudinhha/project2/public/fonts/admin/feather/fonts/feather.svg                 | XML        |        265 |          3 |        492 |        760 |
| /Users/buudinhha/project2/public/fonts/admin/fontawesome/css/fontawesome-all.min.css   | CSS        |          1 |          4 |          0 |          5 |
| /Users/buudinhha/project2/public/fonts/admin/fontawesome/webfonts/fa-brands-400.svg    | XML        |      1,100 |          4 |          1 |      1,105 |
| /Users/buudinhha/project2/public/fonts/admin/fontawesome/webfonts/fa-regular-400.svg   | XML        |        368 |          4 |          1 |        373 |
| /Users/buudinhha/project2/public/fonts/admin/fontawesome/webfonts/fa-solid-900.svg     | XML        |      1,892 |          4 |          1 |      1,897 |
| /Users/buudinhha/project2/public/fonts/main-page/fontawesome-webfont.svg               | XML        |        685 |          0 |          0 |        685 |
| /Users/buudinhha/project2/public/js/admin/main.js                                      | JavaScript |         18 |          1 |          2 |         21 |
| /Users/buudinhha/project2/public/js/admin/pages/chart-morris-custom.js                 | JavaScript |         46 |          0 |          6 |         52 |
| /Users/buudinhha/project2/public/js/admin/pages/google-maps.js                         | JavaScript |        174 |          0 |          1 |        175 |
| /Users/buudinhha/project2/public/js/admin/pcoded.min.js                                | JavaScript |          1 |         12 |          0 |         13 |
| /Users/buudinhha/project2/public/js/admin/vendor-all.min.js                            | JavaScript |          4 |          0 |          0 |          4 |
| /Users/buudinhha/project2/public/js/main-page/baguetteBox.min.js                       | JavaScript |          1 |          6 |          0 |          7 |
| /Users/buudinhha/project2/public/js/main-page/bootstrap.min.js                         | JavaScript |          1 |          6 |          0 |          7 |
| /Users/buudinhha/project2/public/js/main-page/contact-form-script.js                   | JavaScript |         32 |         16 |          7 |         55 |
| /Users/buudinhha/project2/public/js/main-page/custom.js                                | JavaScript |         55 |         21 |         23 |         99 |
| /Users/buudinhha/project2/public/js/main-page/form-validator.min.js                    | JavaScript |          1 |          7 |          1 |          9 |
| /Users/buudinhha/project2/public/js/main-page/images-loded.min.js                      | JavaScript |          1 |          5 |          1 |          7 |
| /Users/buudinhha/project2/public/js/main-page/isotope.min.js                           | JavaScript |          2 |          9 |          1 |         12 |
| /Users/buudinhha/project2/public/js/main-page/jquery-3.2.1.min.js                      | JavaScript |          3 |          1 |          1 |          5 |
| /Users/buudinhha/project2/public/js/main-page/jquery.mapify.js                         | JavaScript |        149 |         42 |         37 |        228 |
| /Users/buudinhha/project2/public/js/main-page/jquery.superslides.min.js                | JavaScript |          1 |          3 |          0 |          4 |
| /Users/buudinhha/project2/public/js/main-page/legacy.js                                | JavaScript |        103 |         19 |         12 |        134 |
| /Users/buudinhha/project2/public/js/main-page/picker.date.js                           | JavaScript |        810 |        262 |        286 |      1,358 |
| /Users/buudinhha/project2/public/js/main-page/picker.js                                | JavaScript |        585 |        296 |        313 |      1,194 |
| /Users/buudinhha/project2/public/js/main-page/picker.time.js                           | JavaScript |        590 |        205 |        222 |      1,017 |
| /Users/buudinhha/project2/public/js/main-page/popper.min.js                            | JavaScript |          1 |          4 |          1 |          6 |
| /Users/buudinhha/project2/public/plugins/amchart/js/amcharts.js                        | JavaScript |         53 |          0 |          1 |         54 |
| /Users/buudinhha/project2/public/plugins/amchart/js/ammap.min.js                       | JavaScript |          1 |          0 |          0 |          1 |
| /Users/buudinhha/project2/public/plugins/amchart/js/gauge.js                           | JavaScript |          7 |          0 |          1 |          8 |
| /Users/buudinhha/project2/public/plugins/amchart/js/images/dragIconRoundBig.svg        | XML        |         13 |          0 |          3 |         16 |
| /Users/buudinhha/project2/public/plugins/amchart/js/images/lens.svg                    | XML        |          7 |          0 |          0 |          7 |
| /Users/buudinhha/project2/public/plugins/amchart/js/light.js                           | JavaScript |          1 |          0 |          1 |          2 |
| /Users/buudinhha/project2/public/plugins/amchart/js/pie.min.js                         | JavaScript |          1 |          0 |          0 |          1 |
| /Users/buudinhha/project2/public/plugins/amchart/js/radar.js                           | JavaScript |          1 |          0 |          0 |          1 |
| /Users/buudinhha/project2/public/plugins/amchart/js/serial.js                          | JavaScript |         17 |          0 |          1 |         18 |
| /Users/buudinhha/project2/public/plugins/amchart/js/usaLow.js                          | JavaScript |          1 |          0 |          1 |          2 |
| /Users/buudinhha/project2/public/plugins/amchart/js/worldLow.js                        | JavaScript |          1 |          0 |          0 |          1 |
| /Users/buudinhha/project2/public/plugins/animation/css/animate.min.css                 | CSS        |          2 |          5 |          0 |          7 |
| /Users/buudinhha/project2/public/plugins/bootstrap/css/bootstrap.css                   | CSS        |      7,933 |          7 |      1,095 |      9,035 |
| /Users/buudinhha/project2/public/plugins/bootstrap/css/bootstrap.min.css               | CSS        |          1 |          6 |          1 |          8 |
| /Users/buudinhha/project2/public/plugins/bootstrap/js/bootstrap.js                     | JavaScript |      2,830 |        352 |        763 |      3,945 |
| /Users/buudinhha/project2/public/plugins/bootstrap/js/bootstrap.min.js                 | JavaScript |          1 |          6 |          1 |          8 |
| /Users/buudinhha/project2/public/plugins/bootstrap/js/popover.js                       | JavaScript |          1 |          4 |          1 |          6 |
| /Users/buudinhha/project2/public/plugins/chart-morris/css/morris.css                   | CSS        |          2 |          0 |          1 |          3 |
| /Users/buudinhha/project2/public/plugins/chart-morris/js/morris.min.js                 | JavaScript |          2 |          5 |          0 |          7 |
| /Users/buudinhha/project2/public/plugins/chart-morris/js/raphael.min.js                | JavaScript |          1 |          0 |          0 |          1 |
| /Users/buudinhha/project2/public/plugins/google-maps/js/gmaps.js                       | JavaScript |        184 |          5 |          0 |        189 |
| /Users/buudinhha/project2/public/plugins/jquery-scrollbar/css/jquery.scrollbar.min.css | CSS        |          1 |          0 |          1 |          2 |
| /Users/buudinhha/project2/public/plugins/jquery-scrollbar/js/jquery.scrollbar.min.js   | JavaScript |          1 |          0 |          0 |          1 |
| /Users/buudinhha/project2/public/plugins/jquery-ui/js/jquery-ui.js                     | JavaScript |     12,299 |      1,534 |      2,317 |     16,150 |
| /Users/buudinhha/project2/public/plugins/jquery/js/jquery.min.js                       | JavaScript |          1 |          1 |          1 |          3 |
| /Users/buudinhha/project2/routes/admin.js                                              | JavaScript |         70 |          4 |         13 |         87 |
| /Users/buudinhha/project2/routes/main-page.js                                          | JavaScript |         13 |          1 |         14 |         28 |
| /Users/buudinhha/project2/views/admin/dish-management.ejs                              | HTML       |         69 |         29 |         15 |        113 |
| /Users/buudinhha/project2/views/admin/edit-dish.ejs                                    | HTML       |        170 |          6 |         15 |        191 |
| /Users/buudinhha/project2/views/admin/includes/end.ejs                                 | HTML       |          9 |          2 |          3 |         14 |
| /Users/buudinhha/project2/views/admin/includes/filter.ejs                              | HTML       |         86 |          0 |          1 |         87 |
| /Users/buudinhha/project2/views/admin/includes/head.ejs                                | HTML       |         22 |         13 |          6 |         41 |
| /Users/buudinhha/project2/views/admin/includes/navigation.ejs                          | HTML       |         23 |         10 |          3 |         36 |
| /Users/buudinhha/project2/views/admin/statistic.ejs                                    | HTML       |         57 |          8 |          6 |         71 |
| /Users/buudinhha/project2/views/error/404.ejs                                          | HTML       |          4 |          0 |          3 |          7 |
| /Users/buudinhha/project2/views/error/500.ejs                                          | HTML       |          4 |          0 |          3 |          7 |
| /Users/buudinhha/project2/views/error/includes/end.ejs                                 | HTML       |          4 |          0 |          0 |          4 |
| /Users/buudinhha/project2/views/error/includes/head.ejs                                | HTML       |         34 |          0 |          3 |         37 |
| /Users/buudinhha/project2/views/main-page/dish-by-ingredient.ejs                       | HTML       |         34 |          3 |          6 |         43 |
| /Users/buudinhha/project2/views/main-page/dish-detail.ejs                              | HTML       |         47 |         16 |          8 |         71 |
| /Users/buudinhha/project2/views/main-page/favorite-dish.ejs                            | HTML       |         40 |         10 |          8 |         58 |
| /Users/buudinhha/project2/views/main-page/includes/end.ejs                             | HTML       |         70 |         44 |         15 |        129 |
| /Users/buudinhha/project2/views/main-page/includes/filter.ejs                          | HTML       |         27 |          2 |          2 |         31 |
| /Users/buudinhha/project2/views/main-page/includes/head.ejs                            | HTML       |         37 |         34 |          7 |         78 |
| /Users/buudinhha/project2/views/main-page/includes/pagination.ejs                      | HTML       |         55 |          0 |          2 |         57 |
| /Users/buudinhha/project2/views/main-page/main-page.ejs                                | HTML       |         65 |          6 |          3 |         74 |
| /Users/buudinhha/project2/views/main-page/menu.ejs                                     | HTML       |         47 |          4 |         10 |         61 |
| Total                                                                                  |            |     47,528 |      3,598 |      6,741 |     57,867 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
